toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,log_period,log_radius,log_insol,log_teff
1748.01,1748,PC,1,10.5657,270.73931,60.417638,1.8318623,1.4211172,403.1219726,1.5299007,404.9227459,1144.0968579,4837.0,0.768226,0.26289282490074245,0.18466324333944428,2.607372173264828,3.6845760873884554
1750.01,1750,PC,1,11.7077,240.301978,68.9373,11.3373614,2.8611319,1194.0451617,2.619494,33.3520232,612.9150641,4765.0,0.768675,1.0545119908215697,0.41821740802547075,1.5231221842179195,3.6780629049743454
1752.01,1752,PC,1,12.7463,253.461486,60.70962,0.9351891,0.7694649,1150.2871156,1.8032935,194.1728744,952.065635,3652.0,0.526987,-0.029100563691211872,0.2560664172697576,2.288188559654287,3.562530768862261
1752.02,1752,PC,2,12.7463,253.461486,60.70962,32.7135406,5.075467,1469.2598788,2.4202837,1.6972705,291.1102616,3652.0,0.526987,1.5147275505397988,0.38386627594864536,0.2297510628807414,3.562530768862261
1754.01,1754,PC,1,11.7229,265.59431,57.447771,16.2143217,3.8395249,1553.7064339,2.8235075,6.3061639,404.1671972,3849.0,0.593295,1.209898785379718,0.45078894567810013,0.7997652540650042,3.585347911094591
1756.01,1756,PC,1,12.0948,306.328774,77.636412,2.7830114,1.7406295,916.2640701,1.7104603,55.5823764,696.3924073,3756.0,0.562607,0.444514985330433,0.23311299860817952,1.7449371109074183,3.5747255835940734
1757.01,1757,PC,1,11.2906,255.400714,79.067126,2.125687,1.4649664,570.6858828,1.6780073,209.8814988,970.7631647,4428.0,0.707159,0.3274993165465155,0.22479384585073972,2.3219741569092123,3.6462076122066853
1761.01,1761,PC,1,10.5951,281.577645,75.303367,11.5922513,3.4868947,373.1625573,2.4230886,174.3466841,926.7725725,6311.0,1.19407,1.0641677873199444,0.38436929436350986,2.241413691942756,3.8000981801747757
1762.01,1762,PC,1,10.5949,17.915004,79.165492,24.141229,3.069765,1612.7795426,4.0770689,38.9416122,637.122924,6156.0,0.94842,1.3827593757170804,0.6103480508284046,1.5904139275401983,3.789298611159441
1763.01,1763,PC,1,12.8123,259.564164,74.302721,3.797872,1.0636976,1501.0825028,1.9296055,22.3746156,554.7006125,3520.0,0.472869,0.5795403235841359,0.2854685283416111,1.3497555827931835,3.546542663478131
1782.03,1782,PC,3,11.3069,213.078772,74.411791,18.7559765,2.5550705,1506.818331,2.9737536,9.5841474,448.7537809,4336.0,0.668693,1.2731396799248456,0.4733049807987278,0.9815534843560009,3.6370892735303304
119.01,119,PC,1,9.2789,99.238421,-58.016153,5.5411113,2.4142561,597.3296582,1.9687561,364.2204844,1217.0522727,5332.0,0.82,0.743596873583542,0.2941919167551287,2.561364367630537,3.726890140741822
119.02,119,PC,2,9.2789,99.238421,-58.016153,10.69173,3.0528284,498.5173154,1.8105614,316.3141491,1174.8915883,5332.0,0.82,1.0290479829136534,0.2578132572552336,2.500118618847807,3.726890140741822
133.01,133,PC,1,9.9762,354.397374,-58.955078,8.1995368,2.1168277,903.3694431,1.9226211,26.2353114,577.2199136,4028.0,0.650533,0.9137893193488482,0.2838937042109906,1.4188862234228292,3.6050894618815805
168.01,168,PC,1,11.5147,311.64359,-37.904399,2.31446,1.347,1190.0,3.40668,176.692,1015.0,4801.5,0.73,0.3644496794245584,0.5323313408584132,2.247216886606326,3.6813769331998136
204.01,204,PC,1,9.2182,12.97601,-59.343647,43.8297863,4.3011392,647.2685163,2.8243863,15.6569489,507.3369958,5605.0,1.03654,1.6417693531783253,0.45092409623414514,1.1947071341589997,3.748575616930992
205.01,205,PC,1,9.4525,7.975464,-56.965081,4.2529857,3.0961227,261.1393852,2.1697982,1740.9224316,1799.546176,6222.5,1.45,0.6286939224691298,0.33641934458503275,3.2407794211583605,3.793964905280631
208.01,208,PC,1,10.3539,53.28158,-72.744051,22.4586196,7.1989719,445.0003089,2.1229458,33.8973151,615.4050768,5493.0,0.978381,1.3513830592038751,0.3269389065252096,1.5301653004617157,3.739809599021359
210.01,210,PC,1,12.5395,88.96184,-73.985288,9.0105414,1.8443264,4125.0713,2.1513682,3.3568205,345.2246743,3275.0,0.330146,0.9547508864250713,0.3327147449033355,0.5259281187446643,3.515211304327802
213.01,213,PC,1,9.7806,38.887291,-71.624247,23.5199045,3.222,1243.0,2.30502,10.453,500.0,4566.4,0.67,1.3714355540024332,0.36267469799115737,1.019240950395851,3.659573951434553
213.02,213,PC,2,9.7806,38.887291,-71.624247,7.7565534,2.4341043,286.2558604,1.1359985,37.2050274,629.8978948,4566.4,0.672062,0.8896687867388582,0.05537775792240061,1.5706016287140352,3.659573951434553
